"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 05월 27일","260,500","262,500","267,000","257,000","1.90K","-3.52%"
"2020년 05월 26일","270,000","273,000","279,500","261,000","1.19K","0.75%"
"2020년 05월 25일","268,000","250,500","269,500","249,500","3.02K","8.50%"
"2020년 05월 24일","247,000","247,000","247,000","247,000","-","0.00%"
"2020년 05월 22일","247,000","237,500","248,500","235,000","1.88M","4.00%"
"2020년 05월 21일","237,500","237,500","240,000","234,500","1.40M","2.59%"
"2020년 05월 20일","231,500","223,500","234,000","222,500","0.10K","5.23%"
"2020년 05월 19일","220,000","222,000","222,500","214,500","0.19K","-0.45%"
"2020년 05월 18일","221,000","221,500","225,500","219,000","0.91K","-0.23%"
"2020년 05월 17일","221,500","221,500","221,500","221,500","-","0.00%"
"2020년 05월 15일","221,500","228,500","231,500","216,000","1.52M","-1.56%"
"2020년 05월 14일","225,000","216,000","228,000","214,000","0.02K","3.93%"
"2020년 05월 13일","216,500","211,500","216,500","211,500","0.23K","0.93%"
"2020년 05월 12일","214,500","209,000","216,500","206,000","1.56M","3.37%"
"2020년 05월 11일","207,500","207,000","211,500","206,500","1.05M","0.73%"
"2020년 05월 10일","206,000","206,000","206,000","206,000","-","0.00%"
"2020년 05월 08일","206,000","206,500","210,000","204,000","1.40M","0.00%"
"2020년 05월 07일","206,000","199,500","207,500","198,500","2.62M","3.26%"
"2020년 05월 06일","199,500","189,000","200,000","188,000","2.03M","6.97%"
"2020년 05월 05일","186,500","186,500","186,500","186,500","-","0.00%"
"2020년 05월 04일","186,500","181,500","190,000","180,000","1.02M","1.36%"
"2020년 05월 03일","184,000","184,000","184,000","184,000","-","0.00%"
"2020년 04월 29일","184,000","184,000","186,500","182,500","657.14K","-0.54%"
"2020년 04월 28일","185,000","185,500","186,500","181,500","665.91K","0.54%"
"2020년 04월 27일","184,000","183,000","187,000","181,500","719.45K","0.55%"
"2020년 04월 26일","183,000","183,000","183,000","183,000","-","0.00%"
"2020년 04월 24일","183,000","184,500","188,500","182,000","1.07M","-1.35%"
"2020년 04월 23일","185,500","181,500","186,500","180,500","1.40M","4.80%"
"2020년 04월 22일","177,000","174,000","177,000","171,500","683.68K","0.85%"
"2020년 04월 21일","175,500","176,500","177,500","168,500","1.23M","0.29%"
"2020년 04월 20일","175,000","172,500","179,000","172,000","857.32K","1.74%"
"2020년 04월 19일","172,000","172,000","172,000","172,000","-","0.00%"
"2020년 04월 17일","172,000","169,000","172,500","167,500","944.90K","3.93%"
"2020년 04월 16일","165,500","159,000","167,000","158,500","1.00M","3.76%"
"2020년 04월 15일","159,500","159,500","159,500","159,500","-","0.00%"
"2020년 04월 14일","159,500","159,500","160,500","158,000","429.01K","1.27%"
"2020년 04월 13일","157,500","161,000","161,000","157,000","468.61K","-2.17%"
"2020년 04월 12일","161,000","161,000","161,000","161,000","-","0.00%"
"2020년 04월 10일","161,000","158,500","161,500","157,000","751.80K","1.90%"
"2020년 04월 09일","158,000","161,000","161,000","157,500","713.34K","0.00%"
"2020년 04월 08일","158,000","159,000","160,500","158,000","734.61K","-1.25%"
"2020년 04월 07일","160,000","163,500","164,500","158,500","911.41K","-0.31%"
"2020년 04월 06일","160,500","158,500","161,000","157,500","804.35K","1.90%"
"2020년 04월 05일","157,500","157,500","157,500","157,500","-","0.00%"
"2020년 04월 03일","157,500","158,500","159,000","155,000","544.23K","0.32%"
"2020년 04월 02일","157,000","152,000","157,000","149,000","1.04M","4.32%"
"2020년 04월 01일","150,500","156,000","158,500","150,000","784.85K","-3.22%"
"2020년 03월 31일","155,500","155,000","159,000","152,000","1.04M","1.63%"
"2020년 03월 30일","153,000","149,500","154,500","147,500","631.88K","0.33%"
"2020년 03월 29일","152,500","152,500","152,500","152,500","-","0.00%"
"2020년 03월 27일","152,500","156,500","157,000","149,000","956.64K","1.33%"
"2020년 03월 26일","150,500","155,000","156,000","150,000","0.08K","-2.59%"
"2020년 03월 25일","154,500","160,500","162,500","151,000","0.33K","0.00%"
"2020년 03월 24일","154,500","150,500","155,000","147,000","0.43K","7.67%"
"2020년 03월 23일","143,500","138,500","148,000","138,000","0.10K","-4.01%"
"2020년 03월 22일","149,500","149,500","149,500","149,500","-","0.00%"
"2020년 03월 20일","149,500","138,000","151,000","134,500","1.76M","11.57%"
"2020년 03월 19일","134,000","146,000","147,000","127,500","0.01K","-4.96%"
"2020년 03월 18일","141,000","148,500","152,000","140,500","1.10M","-4.41%"
"2020년 03월 17일","147,500","141,000","150,500","140,000","1.21M","0.00%"
"2020년 03월 16일","147,500","162,000","164,000","147,500","1.25M","-7.23%"
"2020년 03월 15일","159,000","159,000","159,000","159,000","-","0.00%"
"2020년 03월 13일","159,000","150,000","161,500","145,000","1.59M","-1.24%"
"2020년 03월 12일","161,000","167,000","169,000","158,500","1.22M","-4.73%"
"2020년 03월 11일","169,000","172,000","174,500","167,000","547.55K","-2.31%"
"2020년 03월 10일","173,000","164,500","174,500","164,000","948.75K","3.28%"
"2020년 03월 09일","167,500","171,000","171,500","166,000","802.79K","-4.56%"
"2020년 03월 08일","175,500","175,500","175,500","175,500","-","0.00%"
"2020년 03월 06일","175,500","176,500","178,500","174,000","561.50K","-2.23%"
"2020년 03월 05일","179,500","182,500","183,000","176,500","810.50K","0.00%"
"2020년 03월 04일","179,500","174,000","181,000","174,000","707.44K","2.57%"
"2020년 03월 03일","175,000","180,500","181,000","175,000","627.05K","0.00%"
"2020년 03월 02일","175,000","174,500","176,500","169,500","769.94K","1.74%"
"2020년 03월 01일","172,000","172,000","172,000","172,000","-","0.00%"
"2020년 02월 28일","172,000","174,500","176,500","170,500","1.02M","-3.64%"
"2020년 02월 27일","178,500","184,000","185,500","176,500","782.55K","-2.99%"
"2020년 02월 26일","184,000","183,500","185,500","181,500","513.18K","-0.81%"
"2020년 02월 25일","185,500","182,000","186,000","180,000","595.32K","1.09%"
"2020년 02월 24일","183,500","184,500","186,000","182,000","787.43K","-3.17%"
"2020년 02월 23일","189,500","189,500","189,500","189,500","-","0.00%"
"2020년 02월 21일","189,500","188,500","191,500","187,500","557.24K","-0.52%"
"2020년 02월 20일","190,500","190,500","191,500","188,000","545.06K","0.26%"
"2020년 02월 19일","190,000","184,000","190,500","183,500","1.35M","4.40%"
"2020년 02월 18일","182,000","180,500","183,500","179,000","586.45K","0.83%"
"2020년 02월 17일","180,500","180,000","182,000","179,000","328.55K","0.28%"
"2020년 02월 16일","180,000","180,000","180,000","180,000","-","0.00%"
"2020년 02월 14일","180,000","181,000","184,500","179,000","855.75K","0.56%"
"2020년 02월 13일","179,000","174,500","181,500","173,500","1.88M","4.07%"
"2020년 02월 12일","172,000","169,500","172,000","168,000","405.90K","1.18%"
"2020년 02월 11일","170,000","169,000","170,000","168,000","300.90K","0.59%"
"2020년 02월 10일","169,000","167,500","169,500","166,000","374.53K","0.90%"
"2020년 02월 09일","167,500","167,500","167,500","167,500","-","0.00%"
"2020년 02월 07일","167,500","167,000","170,500","166,000","521.10K","0.90%"
"2020년 02월 06일","166,000","165,500","168,000","163,500","550.74K","1.84%"
"2020년 02월 05일","163,000","166,500","167,000","161,500","438.84K","-0.91%"
"2020년 02월 04일","164,500","161,500","165,500","160,500","393.70K","3.13%"
"2020년 02월 03일","159,500","156,000","160,500","156,000","407.26K","0.31%"
"2020년 02월 02일","159,000","159,000","159,000","159,000","-","0.00%"
"2020년 01월 31일","159,000","162,500","164,000","158,500","343.91K","-1.85%"
"2020년 01월 30일","162,000","163,000","165,500","160,500","418.43K","-0.92%"
"2020년 01월 29일","163,500","165,500","166,000","162,500","254.50K","0.62%"
"2020년 01월 28일","162,500","160,000","163,500","159,500","512.40K","-1.81%"
"2020년 01월 27일","165,500","165,500","165,500","165,500","-","0.00%"
"2020년 01월 23일","165,500","168,000","168,000","164,500","322.64K","-0.30%"
"2020년 01월 22일","166,000","166,000","169,000","164,500","468.02K","0.61%"
"2020년 01월 21일","165,000","168,500","169,000","163,500","388.10K","-2.08%"
"2020년 01월 20일","168,500","169,000","170,000","167,000","379.73K","0.00%"
"2020년 01월 19일","168,500","168,500","168,500","168,500","-","0.00%"
"2020년 01월 17일","168,500","171,500","172,500","168,000","351.48K","-1.75%"
"2020년 01월 16일","171,500","170,000","172,000","170,000","259.00K","0.88%"
"2020년 01월 15일","170,000","167,000","170,500","166,500","461.24K","1.80%"
"2020년 01월 14일","167,000","167,500","168,500","165,500","422.83K","0.00%"
"2020년 01월 13일","167,000","165,500","167,500","165,000","474.61K","1.21%"
"2020년 01월 12일","165,000","165,000","165,000","165,000","-","0.00%"
"2020년 01월 10일","165,000","165,000","166,500","163,000","401.23K","0.61%"
"2020년 01월 09일","164,000","163,500","165,500","162,500","877.68K","2.82%"
"2020년 01월 08일","159,500","158,500","162,000","156,500","849.37K","-0.31%"
"2020년 01월 07일","160,000","155,000","160,000","154,500","839.00K","3.56%"
"2020년 01월 06일","154,500","150,500","155,000","150,000","393.46K","1.31%"
"2020년 01월 05일","152,500","152,500","152,500","152,500","-","0.00%"
"2020년 01월 03일","152,500","153,500","155,000","151,000","314.42K","0.00%"
"2020년 01월 02일","152,500","154,000","154,500","152,000","240.50K","-0.65%"
"2019년 12월 30일","153,500","154,000","155,000","153,000","352.78K","0.00%"
"2019년 12월 29일","153,500","153,500","153,500","153,500","-","0.00%"
"2019년 12월 27일","153,500","149,500","154,000","149,000","690.23K","3.72%"
"2019년 12월 26일","148,000","146,000","148,000","146,000","319.46K","1.02%"
"2019년 12월 25일","146,500","146,500","146,500","146,500","-","0.00%"
"2019년 12월 24일","146,500","148,000","150,000","144,500","366.93K","-1.35%"
"2019년 12월 23일","148,500","151,000","151,000","148,000","278.51K","-1.00%"
"2019년 12월 20일","150,000","150,000","153,000","149,500","542.55K","0.00%"
"2019년 12월 19일","150,000","150,500","151,000","149,000","174.80K","-0.66%"
"2019년 12월 18일","151,000","150,500","152,000","149,500","250.14K","0.33%"
"2019년 12월 17일","150,500","151,500","152,000","149,500","272.77K","-0.66%"
"2019년 12월 16일","151,500","151,000","152,000","150,000","296.62K","0.33%"
"2019년 12월 15일","151,000","151,000","151,000","151,000","-","0.00%"
"2019년 12월 13일","151,000","150,500","151,000","148,500","455.52K","1.00%"
"2019년 12월 12일","149,500","151,000","151,500","149,000","708.65K","-0.33%"
"2019년 12월 11일","150,000","150,500","150,500","147,500","478.65K","0.33%"
"2019년 12월 10일","149,500","150,000","151,500","147,000","514.57K","-1.32%"
"2019년 12월 09일","151,500","154,000","154,500","151,000","266.60K","-1.30%"
"2019년 12월 08일","153,500","153,500","153,500","153,500","-","0.00%"
"2019년 12월 06일","153,500","149,000","154,000","149,000","414.48K","2.68%"
"2019년 12월 05일","149,500","155,500","156,000","148,500","840.19K","-4.17%"
"2019년 12월 04일","156,000","156,000","156,000","154,500","232.52K","-0.64%"
"2019년 12월 03일","157,000","155,500","157,000","154,000","235.08K","0.32%"
"2019년 12월 02일","156,500","156,000","156,500","153,500","249.92K","0.64%"
"2019년 12월 01일","155,500","155,500","155,500","155,500","-","0.00%"
"2019년 11월 29일","155,500","156,000","159,000","153,500","470.82K","-0.96%"
"2019년 11월 28일","157,000","156,500","157,500","155,500","217.99K","-0.32%"
"2019년 11월 27일","157,500","158,500","159,000","156,500","293.87K","0.00%"
"2019년 11월 26일","157,500","157,000","158,500","156,500","360.69K","0.64%"
"2019년 11월 25일","156,500","153,500","156,500","153,500","298.95K","2.29%"
"2019년 11월 22일","153,000","153,000","155,500","152,000","331.63K","-0.65%"
"2019년 11월 21일","154,000","156,500","157,000","151,000","666.34K","-1.60%"
"2019년 11월 20일","156,500","156,000","159,000","155,500","331.71K","0.00%"
"2019년 11월 19일","156,500","157,500","157,500","155,500","322.65K","-0.63%"
"2019년 11월 18일","157,500","155,500","158,000","155,500","371.85K","1.29%"
"2019년 11월 15일","155,500","154,500","155,500","153,500","280.14K","0.65%"
"2019년 11월 14일","154,500","154,500","155,000","152,000","650.80K","0.65%"
"2019년 11월 13일","153,500","152,500","154,000","151,000","376.76K","0.00%"
"2019년 11월 12일","153,500","154,000","154,500","152,000","395.46K","-0.32%"
"2019년 11월 11일","154,000","153,000","155,000","152,000","500.83K","1.32%"
"2019년 11월 08일","152,000","152,000","155,000","151,000","877.97K","0.66%"
"2019년 11월 07일","151,000","152,000","154,500","147,000","1.22M","0.00%"
"2019년 11월 06일","151,000","149,000","151,000","148,000","515.10K","1.68%"
"2019년 11월 05일","148,500","146,000","149,000","145,500","502.28K","1.37%"
"2019년 11월 04일","146,500","146,500","147,500","145,500","434.45K","0.69%"
"2019년 11월 01일","145,500","142,500","146,000","142,000","715.19K","2.83%"
"2019년 10월 31일","141,500","139,000","144,000","138,500","725.61K","2.54%"
"2019년 10월 30일","138,000","140,500","140,500","137,500","250.88K","-1.08%"
"2019년 10월 29일","139,500","141,500","142,000","138,000","356.71K","-0.36%"
"2019년 10월 28일","140,000","142,000","145,000","139,500","665.01K","0.00%"
"2019년 10월 27일","140,000","140,000","140,000","140,000","-","0.00%"
"2019년 10월 25일","140,000","140,000","141,000","139,500","195.86K","0.36%"
"2019년 10월 24일","139,500","140,500","142,000","139,000","489.16K","-0.36%"
"2019년 10월 23일","140,000","136,000","140,000","135,500","1.04M","2.94%"
"2019년 10월 22일","136,000","134,000","136,000","134,000","336.85K","1.87%"
"2019년 10월 21일","133,500","132,500","134,000","131,000","213.67K","0.75%"
"2019년 10월 20일","132,500","132,500","132,500","132,500","-","0.00%"
"2019년 10월 18일","132,500","131,000","133,500","131,000","331.94K","1.53%"
"2019년 10월 17일","130,500","131,500","132,500","129,000","617.54K","-1.14%"
"2019년 10월 16일","132,000","134,000","134,500","128,500","752.72K","-1.49%"
"2019년 10월 15일","134,000","135,000","135,000","133,000","189.95K","-0.37%"
"2019년 10월 14일","134,500","136,000","136,500","134,000","317.02K","-0.37%"
"2019년 10월 13일","135,000","135,000","135,000","135,000","-","0.00%"
"2019년 10월 11일","135,000","136,500","137,500","134,500","238.28K","-1.10%"
"2019년 10월 10일","136,500","133,000","137,000","132,500","693.61K","1.49%"
"2019년 10월 09일","134,500","134,500","134,500","134,500","-","0.00%"
"2019년 10월 08일","134,500","134,500","135,000","133,500","224.40K","0.00%"
"2019년 10월 07일","134,500","134,000","135,000","133,000","246.05K","0.75%"
"2019년 10월 04일","133,500","134,500","136,000","133,500","237.10K","-1.48%"
"2019년 10월 03일","135,500","135,500","135,500","135,500","-","0.00%"
"2019년 10월 02일","135,500","136,500","137,000","135,500","151.81K","-1.45%"
"2019년 10월 01일","137,500","136,000","138,000","136,000","251.09K","1.48%"
"2019년 09월 30일","135,500","134,500","136,000","134,000","201.40K","0.00%"
"2019년 09월 29일","135,500","135,500","135,500","135,500","-","0.00%"
"2019년 09월 27일","135,500","136,500","136,500","134,500","168.42K","-0.73%"
"2019년 09월 26일","136,500","137,000","137,500","135,000","210.22K","0.37%"
"2019년 09월 25일","136,000","137,500","138,500","136,000","301.35K","-1.45%"
"2019년 09월 24일","138,000","135,000","138,000","134,500","465.65K","2.60%"
"2019년 09월 23일","134,500","135,000","136,500","134,500","206.43K","-0.74%"
"2019년 09월 22일","135,500","135,500","135,500","135,500","-","0.00%"
"2019년 09월 20일","135,500","135,500","135,500","133,000","354.43K","0.00%"
"2019년 09월 19일","135,500","136,500","137,500","135,000","242.56K","-1.09%"
"2019년 09월 18일","137,000","133,000","137,000","133,000","682.93K","3.79%"
"2019년 09월 17일","132,000","132,000","134,000","132,000","325.63K","0.00%"
"2019년 09월 16일","132,000","134,500","135,000","131,000","411.49K","-0.75%"
"2019년 09월 15일","133,000","133,000","133,000","133,000","-","0.00%"
"2019년 09월 11일","133,000","135,500","136,000","133,000","733.10K","-1.85%"
"2019년 09월 10일","135,500","133,000","135,500","132,500","310.01K","1.88%"
"2019년 09월 09일","133,000","135,000","135,500","132,000","670.29K","-2.21%"
"2019년 09월 06일","136,000","135,000","136,500","135,000","156.03K","0.74%"
"2019년 09월 05일","135,000","138,000","139,000","134,500","597.61K","-2.53%"
"2019년 09월 04일","138,500","137,000","139,000","136,500","425.82K","0.73%"
"2019년 09월 03일","137,500","137,500","138,000","136,000","291.19K","0.36%"
"2019년 09월 02일","137,000","134,000","137,500","133,500","574.89K","1.86%"
"2019년 09월 01일","134,500","134,500","134,500","134,500","-","0.00%"
"2019년 08월 30일","134,500","134,000","135,500","134,000","400.67K","1.13%"
"2019년 08월 29일","133,000","133,000","133,500","131,000","349.15K","-0.37%"
"2019년 08월 28일","133,500","134,000","135,000","132,500","254.45K","-0.37%"
"2019년 08월 27일","134,000","133,500","135,000","133,000","495.06K","1.13%"
"2019년 08월 26일","132,500","130,000","133,000","129,500","373.41K","-0.38%"
"2019년 08월 23일","133,000","132,000","133,500","130,500","302.96K","0.00%"
"2019년 08월 22일","133,000","131,500","135,000","131,500","596.58K","1.14%"
"2019년 08월 21일","131,500","131,000","133,000","130,500","284.17K","-0.38%"
"2019년 08월 20일","132,000","131,000","132,000","129,500","368.34K","1.15%"
"2019년 08월 19일","130,500","130,500","131,500","129,500","222.18K","0.77%"
"2019년 08월 18일","129,500","129,500","129,500","129,500","-","0.00%"
"2019년 08월 16일","129,500","129,500","130,000","128,000","299.25K","-0.77%"
"2019년 08월 15일","130,500","130,500","130,500","130,500","-","0.00%"
"2019년 08월 14일","130,500","133,000","133,000","129,000","337.91K","-0.76%"
"2019년 08월 13일","131,500","130,000","132,500","129,000","361.06K","1.15%"
"2019년 08월 12일","130,000","133,000","133,500","129,500","262.38K","-1.52%"
"2019년 08월 11일","132,000","132,000","132,000","132,000","-","0.00%"
"2019년 08월 09일","132,000","128,000","133,000","127,500","779.12K","3.94%"
"2019년 08월 08일","127,000","128,000","129,000","125,500","954.59K","2.83%"
"2019년 08월 07일","123,500","124,500","125,000","121,500","423.33K","1.23%"
"2019년 08월 06일","122,000","118,500","124,500","117,500","649.75K","-0.41%"
"2019년 08월 05일","122,500","128,000","129,000","121,500","595.12K","-4.67%"
"2019년 08월 02일","128,500","126,000","130,000","123,500","443.87K","1.58%"
"2019년 08월 01일","126,500","126,000","128,500","125,500","248.03K","-0.39%"
"2019년 07월 31일","127,000","125,000","128,000","124,500","293.87K","0.79%"
"2019년 07월 30일","126,000","128,500","129,500","126,000","465.86K","-2.33%"
"2019년 07월 29일","129,000","130,000","132,000","128,000","362.79K","-1.53%"
"2019년 07월 28일","131,000","131,000","131,000","131,000","-","0.00%"
"2019년 07월 26일","131,000","129,000","132,000","127,000","698.95K","0.00%"
"2019년 07월 25일","131,000","136,000","136,000","128,000","1.29M","-3.68%"
"2019년 07월 24일","136,000","136,000","138,000","134,000","682.39K","0.00%"
"2019년 07월 23일","136,000","134,000","136,500","133,000","466.67K","1.49%"
"2019년 07월 22일","134,000","134,500","136,000","133,500","360.34K","-0.74%"
"2019년 07월 21일","135,000","135,000","135,000","135,000","-","0.00%"
"2019년 07월 19일","135,000","132,000","135,500","131,500","655.47K","2.66%"
"2019년 07월 18일","131,500","130,500","132,500","130,500","170.03K","0.38%"
"2019년 07월 17일","131,000","132,000","132,500","129,500","326.63K","-1.50%"
"2019년 07월 16일","133,000","133,500","134,000","132,000","298.18K","0.00%"
"2019년 07월 15일","133,000","132,500","136,000","131,000","781.59K","1.14%"
"2019년 07월 12일","131,500","131,000","132,500","129,500","295.27K","0.77%"
"2019년 07월 11일","130,500","131,000","133,000","130,500","525.43K","-0.38%"
"2019년 07월 10일","131,000","132,000","132,000","129,000","312.06K","0.00%"
"2019년 07월 09일","131,000","128,500","132,000","128,000","462.62K","2.34%"
"2019년 07월 08일","128,000","133,500","133,500","128,000","579.10K","-4.12%"
"2019년 07월 05일","133,500","133,000","134,000","131,500","457.81K","0.75%"
"2019년 07월 04일","132,500","131,000","132,500","129,500","361.93K","1.15%"
"2019년 07월 03일","131,000","131,500","132,000","130,000","298.79K","-0.38%"
"2019년 07월 02일","131,500","129,500","131,500","128,000","263.39K","1.54%"
"2019년 07월 01일","129,500","132,500","133,000","129,000","432.32K","-1.52%"
"2019년 06월 30일","131,500","131,500","131,500","131,500","-","0.00%"
"2019년 06월 28일","131,500","131,500","133,000","130,000","361.03K","0.00%"
"2019년 06월 27일","131,500","131,000","133,500","130,000","701.90K","1.54%"
"2019년 06월 26일","129,500","131,000","132,500","129,000","514.33K","-0.77%"
"2019년 06월 25일","130,500","129,000","131,000","127,500","953.12K","3.57%"
"2019년 06월 24일","126,000","127,000","128,000","125,500","305.92K","-0.40%"
"2019년 06월 23일","126,500","126,500","126,500","126,500","-","0.00%"
"2019년 06월 21일","126,500","124,500","128,000","124,000","807.72K","3.69%"
"2019년 06월 20일","122,000","122,000","124,000","120,000","276.15K","0.00%"
"2019년 06월 19일","122,000","122,500","122,500","121,000","177.85K","0.83%"
"2019년 06월 18일","121,000","121,500","123,000","120,000","343.46K","-0.41%"
"2019년 06월 17일","121,500","125,000","125,000","121,000","328.78K","-2.80%"
"2019년 06월 16일","125,000","125,000","125,000","125,000","-","0.00%"
"2019년 06월 14일","125,000","127,000","128,000","124,500","356.96K","-1.19%"
"2019년 06월 13일","126,500","124,000","127,500","123,500","746.44K","2.02%"
"2019년 06월 12일","124,000","124,500","125,000","122,500","212.52K","-0.40%"
"2019년 06월 11일","124,500","124,000","125,000","122,500","244.12K","0.40%"
"2019년 06월 10일","124,000","120,000","125,000","119,000","459.42K","3.33%"
"2019년 06월 07일","120,000","120,000","120,500","117,500","536.52K","-0.41%"
"2019년 06월 05일","120,500","121,000","121,500","119,500","306.54K","0.84%"
"2019년 06월 04일","119,500","122,500","124,000","116,500","845.81K","-2.45%"
"2019년 06월 03일","122,500","123,500","125,500","122,000","314.89K","-1.61%"
"2019년 05월 31일","124,500","124,000","126,000","123,000","324.52K","0.00%"
"2019년 05월 30일","124,500","122,000","125,500","122,000","459.82K","2.47%"
"2019년 05월 29일","121,500","122,500","123,500","120,500","320.26K","-1.22%"
"2019년 05월 28일","123,000","121,000","125,000","120,500","565.42K","0.82%"
"2019년 05월 27일","122,000","125,000","126,500","120,500","547.71K","-1.61%"
"2019년 05월 24일","124,000","123,000","124,000","120,500","762.30K","0.00%"
"2019년 05월 23일","124,000","125,000","127,000","123,500","424.64K","-1.20%"
"2019년 05월 22일","125,500","125,500","126,500","121,500","836.07K","0.40%"
"2019년 05월 21일","125,000","126,500","127,500","125,000","693.07K","-1.19%"
"2019년 05월 20일","126,500","126,500","128,500","125,500","888.81K","1.61%"
"2019년 05월 17일","124,500","129,000","129,500","124,000","2.44M","-6.74%"
"2019년 05월 16일","133,500","132,500","134,000","130,500","554.19K","1.14%"
"2019년 05월 15일","132,000","135,500","136,000","130,000","1.24M","-1.49%"
"2019년 05월 14일","134,000","127,000","135,000","126,500","1.35M","4.28%"
"2019년 05월 13일","128,500","130,500","130,500","127,000","583.12K","-1.15%"
"2019년 05월 10일","130,000","128,500","131,000","127,500","1.00M","2.77%"
"2019년 05월 09일","126,500","133,500","133,500","126,500","1.35M","-1.56%"
"2019년 05월 08일","128,500","126,500","130,000","125,500","688.24K","0.78%"
"2019년 05월 07일","127,500","126,000","130,000","126,000","663.71K","-0.39%"
"2019년 05월 03일","128,000","126,000","129,000","125,500","1.10M","4.07%"
"2019년 05월 02일","123,000","120,000","124,500","119,500","729.86K","2.50%"
"2019년 04월 30일","120,000","119,000","121,000","118,500","493.14K","0.42%"
"2019년 04월 29일","119,500","115,500","119,500","114,000","511.63K","3.91%"
"2019년 04월 26일","115,000","115,500","117,500","113,000","366.21K","-0.86%"
"2019년 04월 25일","116,000","117,500","118,000","115,000","290.48K","-1.69%"
"2019년 04월 24일","118,000","117,500","118,500","115,500","442.05K","1.29%"
"2019년 04월 23일","116,500","118,500","119,500","116,000","257.27K","-1.27%"
"2019년 04월 22일","118,000","118,000","120,500","117,000","456.75K","0.85%"
"2019년 04월 19일","117,000","117,000","119,000","115,000","328.90K","0.43%"
"2019년 04월 18일","116,500","119,000","119,500","116,000","420.02K","-0.85%"
"2019년 04월 17일","117,500","117,000","119,000","115,500","650.41K","0.00%"
"2019년 04월 16일","117,500","113,500","118,000","112,500","1.72M","6.33%"
"2019년 04월 15일","110,500","104,000","110,500","103,000","1.22M","7.80%"
"2019년 04월 12일","102,500","102,500","102,500","101,500","160.83K","0.00%"
"2019년 04월 11일","102,500","103,000","103,000","101,500","252.63K","0.00%"
"2019년 04월 10일","102,500","101,000","103,000","100,500","262.65K","1.99%"
"2019년 04월 09일","100,500","102,000","102,000","100,000","382.26K","-1.47%"
"2019년 04월 08일","102,000","103,000","103,500","101,500","202.99K","-0.49%"
"2019년 04월 05일","102,500","102,500","103,000","102,000","131.82K","0.00%"
"2019년 04월 04일","102,500","102,500","103,000","101,500","260.64K","0.00%"
"2019년 04월 03일","102,500","103,000","104,000","102,000","292.56K","-0.97%"
"2019년 04월 02일","103,500","103,500","104,000","102,000","227.08K","0.49%"
"2019년 04월 01일","103,000","103,500","104,000","102,000","215.09K","-0.48%"
"2019년 03월 29일","103,500","103,000","104,000","102,500","152.20K","0.98%"
"2019년 03월 28일","102,500","102,000","104,000","102,000","161.77K","0.00%"
"2019년 03월 27일","102,500","104,500","104,500","102,000","208.40K","-1.44%"
"2019년 03월 26일","104,000","102,500","105,500","102,000","257.12K","1.96%"
"2019년 03월 25일","102,000","102,000","104,000","101,500","171.35K","-1.92%"
"2019년 03월 22일","104,000","103,000","104,500","103,000","238.88K","1.46%"
"2019년 03월 21일","102,500","102,000","104,000","101,500","229.27K","0.49%"
"2019년 03월 20일","102,000","103,000","103,500","100,000","490.87K","-0.49%"
"2019년 03월 19일","102,500","107,500","108,500","102,500","583.99K","-4.65%"
"2019년 03월 18일","107,500","108,000","108,500","107,000","197.03K","0.00%"
"2019년 03월 15일","107,500","106,500","108,500","106,500","461.92K","0.94%"
"2019년 03월 14일","106,500","105,000","107,500","104,500","443.14K","2.40%"
"2019년 03월 13일","104,000","104,000","106,500","103,500","239.46K","0.48%"
"2019년 03월 12일","103,500","106,500","107,000","103,500","379.33K","-2.36%"
"2019년 03월 11일","106,000","108,000","108,000","104,500","275.45K","-1.40%"
"2019년 03월 08일","107,500","109,000","109,500","106,500","790.90K","2.87%"
"2019년 03월 07일","104,500","105,500","107,000","103,500","302.80K","-0.95%"
"2019년 03월 06일","105,500","107,000","108,000","104,000","297.18K","-0.94%"
"2019년 03월 05일","106,500","108,000","108,000","105,500","471.28K","-1.84%"
"2019년 03월 04일","108,500","105,500","109,000","105,000","850.88K","4.83%"
"2019년 02월 28일","103,500","105,000","106,500","103,500","730.14K","-1.43%"
"2019년 02월 27일","105,000","104,500","105,500","103,000","550.94K","1.45%"
"2019년 02월 26일","103,500","98,400","103,500","98,400","1.24M","5.29%"
"2019년 02월 25일","98,300","99,400","99,800","98,100","368.97K","-1.01%"
"2019년 02월 22일","99,300","99,500","100,500","98,800","293.13K","0.40%"
"2019년 02월 21일","98,900","99,800","101,000","98,800","326.77K","-0.80%"
"2019년 02월 20일","99,700","100,500","101,000","98,500","385.68K","-0.30%"
"2019년 02월 19일","100,000","101,500","102,000","100,000","229.06K","-1.96%"
"2019년 02월 18일","102,000","102,500","103,000","101,000","354.46K","0.49%"
"2019년 02월 17일","101,500","101,500","101,500","101,500","-","0.00%"
"2019년 02월 15일","101,500","101,500","103,500","100,500","652.77K","1.00%"
"2019년 02월 14일","100,500","97,800","101,000","96,100","834.34K","2.45%"
"2019년 02월 13일","98,100","96,500","98,900","95,500","518.90K","2.19%"
"2019년 02월 12일","96,000","95,600","96,500","93,300","579.41K","0.42%"
"2019년 02월 11일","95,600","98,500","98,700","95,300","824.88K","-2.65%"
"2019년 02월 10일","98,200","98,200","98,200","98,200","-","0.00%"
"2019년 02월 08일","98,200","98,700","99,100","98,100","314.02K","-0.81%"
